scheme_name,amc_name,category,sub_category,risk_level,rating,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,returns_1yr,returns_3yr,returns_5yr,scheme_code,nav,latest_nav_date,average_aum_cr,scheme_type,scheme_category_label,scheme_nav_name,master_launch_date,master_match_type,nav_source,nav_confidence,nav_is_synthetic,nav_notes
Aditya Birla SL Active Debt Multi-Mgr FoF-Dir Growth,Aditya Birla Sun Life Mutual Fund,Other,FoFs Domestic,3,3,100,100,0.27,10.0,10.0,4.0,6.5,6.9,,43.7632,,,,,,,unmatched,imputed_subcategory,synthetic,True,Synthetic peer-based NAV using 9 comparable schemes.
Aditya Birla SL Arbitrage Fund,Aditya Birla Sun Life Mutual Fund,Hybrid,Arbitrage Mutual Funds,1,3,1000,1000,0.36,4288.0,10.0,5.6,4.8,5.5,119526,30.1101,2026-04-10,18303.4524,Open Ended,Hybrid Scheme - Arbitrage Fund,Aditya Birla Sun Life Arbitrage Fund - Growth - Direct Plan,2009-07-14,exact_name_amc,master,high,False,Master dataset via exact_name_amc.
Aditya Birla SL Asset Allocator FoF-Dir Growth,Aditya Birla Sun Life Mutual Fund,Other,FoFs Domestic,5,3,1000,1000,0.53,157.0,10.0,2.0,18.9,9.7,,46.3768,,,,,,,unmatched,imputed_subcategory,synthetic,True,Synthetic peer-based NAV using 9 comparable schemes.
Aditya Birla SL Bal Bhavishya Yojna – Dir Growth,Aditya Birla Sun Life Mutual Fund,Solution Oriented,Childrens Funds,6,2,500,1000,0.76,637.0,4.0,-0.7,17.1,,146409,19.39,2026-04-10,1091.6335000000001,Open Ended,Solution Oriented Scheme - Children s Fund,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA REGULAR GROWTH,2019-01-22,exact_name_amc,master,high,False,Master dataset via exact_name_amc.
Aditya Birla SL Balanced Advantage Fund,Aditya Birla Sun Life Mutual Fund,Hybrid,Dynamic Asset Allocation or Balanced Advantage,6,4,100,100,0.61,6386.0,10.0,4.5,18.6,9.7,131666,107.86,2026-04-10,7343.8526,Open Ended,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,Aditya Birla Sun Life Balanced Advantage Fund - Regular Plan - Growth Option,2000-03-15,exact_name_amc,master,high,False,Master dataset via exact_name_amc.
Aditya Birla SL Banking&Financial Services-DirGrowth,Aditya Birla Sun Life Mutual Fund,Equity,Sectoral / Thematic Mutual Funds,6,2,1000,1000,1.17,2384.0,9.0,5.3,24.6,9.2,,66.2136,,,,,,,unmatched,imputed_subcategory_style,synthetic,True,Synthetic peer-based NAV using 46 comparable schemes.
Aditya Birla SL Banking&PSU Debt Fund,Aditya Birla Sun Life Mutual Fund,Debt,Banking and PSU Mutual Funds,3,4,1000,1000,0.37,7994.0,10.0,4.5,6.8,7.3,119550,395.0142,2026-04-10,6769.0961,Open Ended,Debt Scheme - Banking and PSU Fund,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,2000-01-01,exact_name_amc,master,high,False,Master dataset via exact_name_amc.
Aditya Birla SL CEF – Global Agri Plan-Direct Growth,Aditya Birla Sun Life Mutual Fund,Equity,Sectoral / Thematic Mutual Funds,6,0,1000,1000,1.29,15.0,10.0,-10.3,29.4,9.3,,45.4802,,,,,,,unmatched,imputed_subcategory_style,synthetic,True,Synthetic peer-based NAV using 7 comparable schemes.
Aditya Birla SL Corporate Bond Fund,Aditya Birla Sun Life Mutual Fund,Debt,Corporate Bond Mutual Funds,2,4,100,100,0.31,12120.0,10.0,4.9,7.1,7.4,119533,118.7894,2026-04-10,21002.2346,Open Ended,Debt Scheme - Corporate Bond Fund,Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan,1997-03-20,exact_name_amc,master,high,False,Master dataset via exact_name_amc.
Aditya Birla SL Credit Risk Fund,Aditya Birla Sun Life Mutual Fund,Debt,Credit Risk Funds,4,4,100,100,0.69,1032.0,8.0,8.7,9.0,7.2,134388,27.1305,2026-04-10,0.0179,Open Ended,Debt Scheme - Credit Risk Fund,Aditya Birla Sun Life Credit Risk Fund - Direct Plan - Bonus,2015-03-30,exact_name_amc,master,high,False,Master dataset via exact_name_amc.
